N_A,N_B,r_Z_A,r_Z_B,r_A_B1,r_B_B2,R0,R0_low,R0_up,R0_A,R0_A_low,R0_A_up,R0_B,R0_B_low,R0_B_up,X0,X0_low,X0_up,X0_A,X0_A_low,X0_A_up,X0_B,X0_B_low,X0_B_up,Ub1,Ub1_low,Ub1_up,Ub2,Ub2_low,Ub2_up,sim_time_sec
51,49,0.01,0.01,0.07692307692307693,0.09090909090909091,599.5888019636012,584.7134239346676,614.4641799925348,659.9113818509747,645.3541121303116,674.4686515716379,541.1706127445195,525.7982603383768,556.5429651506622,0.16778086125328423,0.16466521447782526,0.17101668482608764,0.0770201010720843,0.07550257089047402,0.07859988432080205,0.09026818045838124,0.08872820449220803,0.091862556565869,1.0,0.9713515668682959,1.028648433131704,1.0,0.9713515668682959,1.028648433131704,8.047765016555786
48,52,0.01,0.01,0.07692307692307693,0.09090909090909091,592.9900841430954,582.6423097990865,603.3378584871042,620.1129780783956,605.2953950615946,634.9305610951966,569.0317722454251,556.478494800269,581.5850496905813,0.16895960629024878,0.1661320616810771,0.1718850662377125,0.07687946617740365,0.07548673406002404,0.07832455618340917,0.09199944985966883,0.09076388199482502,0.09326912152649909,1.0,0.9713515668682959,1.028648433131704,1.0,0.9874855732602297,1.0125144267397703,9.765218019485474
31,69,0.01,0.01,0.07692307692307693,0.09090909090909091,593.0626884016751,578.7507123806593,607.374664422691,406.38192733437376,394.3995123672719,418.36434230147563,757.3084842705834,745.8791979707587,768.7377705704082,0.16818773761097713,0.16446002376906274,0.1720883582006823,0.0773211639875407,0.0757319714712734,0.07897848270272734,0.0913212166314598,0.08930992764856074,0.09342518250908624,1.0,0.9713515668682959,1.028648433131704,1.0,0.9713515668682959,1.028648433131704,6.8197479248046875
54,46,0.01,0.01,0.07692307692307693,0.09090909090909091,596.6620617679092,585.9533205981852,607.3708029376332,704.533247482285,691.4143000427806,717.6521949217894,507.9576314332724,499.1481555413243,516.7671073252205,0.1673213328257132,0.1639567743784914,0.17082687262099255,0.07691083516923172,0.07526025306603883,0.0786354407327592,0.09057562688452477,0.08908076400528907,0.09212151658426437,1.0,0.9713515668682959,1.028648433131704,1.0,0.9713515668682959,1.028648433131704,8.447328567504883
34,66,0.01,0.01,0.07692307692307693,0.09090909090909091,597.541677530534,586.9218502336932,608.1615048273748,441.261777187847,434.1015795822563,448.42197479343764,730.1669517560293,714.726116786505,745.6077867255536,0.16600901720674532,0.16217088952163694,0.17003322418405234,0.07706906046078983,0.07553787418544207,0.07866360672362038,0.09044041432855018,0.08848735254554241,0.09248163654586981,1.0,0.9713515668682959,1.028648433131704,1.0,0.9874855732602297,1.0125144267397703,8.398617267608643
57,43,0.01,0.01,0.07692307692307693,0.09090909090909091,595.2178584529232,581.8928491090742,608.5428677967723,735.2754743476465,724.8008270807412,745.7501216145519,472.9904671240154,464.28679804355806,481.6941362044728,0.1688255106993837,0.16643092533222228,0.17129000788098633,0.07725652842870635,0.07606476180357723,0.07848623417154774,0.09121094197293769,0.08981647632179832,0.0926493906648937,1.0,0.9713515668682959,1.028648433131704,1.0,0.9713515668682959,1.028648433131704,8.00214433670044
37,63,0.01,0.01,0.07692307692307693,0.09090909090909091,601.0630901624152,590.7195866077717,611.4065937170586,481.20622431225297,472.25811874639305,490.1543298781129,698.391412476813,687.1829845635439,709.5998403900821,0.16661890270823185,0.16382253958083712,0.16951238851359707,0.0767543844691886,0.07452142126049448,0.07912529846078112,0.09027290483661891,0.08870804145338487,0.09189396992060375,1.0,0.9713515668682959,1.028648433131704,1.0,0.9874855732602297,1.0125144267397703,8.206307888031006
46,54,0.01,0.01,0.07692307692307693,0.09090909090909091,598.0721861593197,586.4970678736522,609.6473044449872,598.5331359116966,587.8642096690406,609.2020621543526,591.239055528044,578.5458318477265,603.9322792083615,0.16726809382604568,0.16429462509947226,0.17035117639951558,0.0768361321215571,0.07554261356060157,0.07817472032996206,0.09103413549166195,0.08923483842654893,0.09290748642269984,1.0,0.9713515668682959,1.028648433131704,1.0,0.9874855732602297,1.0125144267397703,7.169317960739136
40,60,0.01,0.01,0.07692307692307693,0.09090909090909091,601.6107242020112,589.559729081809,613.6617193222133,521.883245043067,510.8395094072047,532.9269806789292,657.634635281667,643.8210552856365,671.4482152776975,0.16692460477062618,0.1636279551187057,0.17035682244397413,0.07651621659872108,0.07483378726946596,0.07827603528964058,0.09106076587009748,0.08977396620030684,0.09238499138264243,1.0,0.9713515668682959,1.028648433131704,1.0,0.9874855732602297,1.0125144267397703,7.401360034942627
43,57,0.01,0.01,0.07692307692307693,0.09090909090909091,596.221257395742,585.1898057467217,607.2527090447622,558.7129740162716,550.5836336780692,566.842314354474,625.5117608584546,614.4487151841188,636.5748065327905,0.16824534663635926,0.1654114644225045,0.17117802338624907,0.07664503825554903,0.07554661463530091,0.07777587460290492,0.09140767726038881,0.08977010638966251,0.0931061028050641,1.0,0.9713515668682959,1.028648433131704,1.0,0.9713515668682959,1.028648433131704,9.519618034362793
