N_A,N_B,r_Z_A,r_Z_B,r_gw,r_A_s1,r_B_s2,r_B_s3,R0,R0_low,R0_up,R0_A,R0_A_low,R0_A_up,R0_B,R0_B_low,R0_B_up,X0,X0_low,X0_up,X0_A,X0_A_low,X0_A_up,X0_B,X0_B_low,X0_B_up,Us1,Us1_low,Us1_up,Us2,Us2_low,Us2_up,Us3,Us3_low,Us3_up,Ugw,Ugw_low,Ugw_up,sim_time_sec
6,19,0.01,0.01,0.125,0.08333333333333333,0.25,0.14285714285714285,201.12031476790233,197.54169947591728,204.69893005988737,196.88116731697804,193.33329772985016,200.4290369041059,202.81896393049198,197.3815350292502,208.25639283173376,0.12459460610582612,0.1227100792262838,0.12653791925186156,0.030520873926232477,0.030038956442644683,0.031018506411672066,0.09367497958073931,0.09116449730997084,0.09632764427221498,0.37011239660076267,0.359658021555527,0.38056677164599834,0.3710242543076817,0.36443323143098055,0.37761527718438287,0.652015934167016,0.6328802533043376,0.6711516150296943,0.9914880955272923,0.9792879855796099,1.0036882054749747,14.892335891723633
0,25,0.01,0.01,0.3333333333333333,0.058823529411764705,0.1111111111111111,0.08333333333333333,299.373592007246,293.3706826427924,305.37650137169953,0.0,0.0,0.0,299.373592007246,293.3706826427924,305.37650137169953,0.08334368360810687,0.08170112696314978,0.08505364071552962,0.0,0.0,0.0,0.08334368360810687,0.08170112696314978,0.08505364071552962,0.0,0.0,0.0,0.7541012874082031,0.7367632279383836,0.7714393468780227,0.9976187485143946,0.9846207921387122,1.010616704890077,0.2515269624811225,0.24460370076784646,0.2584502241943985,11.28257417678833
6,19,0.01,0.01,999999999999999.9,0.05,0.08333333333333334,0.06666666666666668,237.41360867426152,233.39118724000207,241.43603010852098,150.15198960818935,145.72886196065673,154.57511725572198,292.4041269934107,285.78197526072717,299.0262787260943,0.10530208963825038,0.10361187425636412,0.10704836431251302,0.040119023912120855,0.039373688260821896,0.04089312212747285,0.06503709182376856,0.06402281204172817,0.06608402634126653,0.8069500731330678,0.7928582201818171,0.8210419260843185,0.7846118784808073,0.7672884969734787,0.8019352599881359,0.9856745260869045,0.9719641458865409,0.9993849062872682,5.0082753572208154E-20,0.0,5.7651346236606475E-12,11.802844524383545
4,21,0.01,0.01,0.16666666666666666,0.07142857142857142,0.16666666666666666,0.1111111111111111,186.39087021087724,183.40504492880524,189.37669549294924,142.06982735886325,139.80892018265382,144.33073453507268,197.642908801914,191.99431108960897,203.291506514219,0.13477024588174796,0.13100624484226472,0.13875693560388583,0.028369832269268987,0.02794002484917303,0.028813069929881634,0.10624007168462268,0.1032209595116693,0.10944111739582837,0.3933389333520752,0.3843271817428388,0.4023506849613116,0.6341814819381449,0.6196141861035172,0.6487487777727727,0.9562331745005691,0.941123386617476,0.9713429623836622,0.7960156653237701,0.7793645777641237,0.8126667528834165,19.08065104484558
5,20,0.01,0.01,0.25,0.0625,0.125,0.09090909090909091,197.84093923079732,194.57433724441518,201.10754121717946,134.4739679703638,132.3700675210304,136.57786841969718,224.58017648886255,220.7729610450501,228.387391932675,0.12657995222954488,0.12451388760852948,0.1287157383517526,0.03715141750258234,0.036193544895645885,0.03816136914599078,0.08908145834310817,0.0878940436514701,0.09030139543048073,0.5865310696932773,0.5754379853282825,0.5976241540582721,0.7138317960800354,0.693334829204209,0.7343287629558619,0.9836783781702501,0.9701911972938836,0.9971655590466165,0.5041384040370901,0.49351763003414706,0.5147591780400331,12.025935173034668
3,22,0.01,0.01,0.125,0.08333333333333333,0.25,0.14285714285714285,203.42267816781458,197.40665631216686,209.4387000234623,186.0416233884893,183.34662875859462,188.736618018384,205.22133293388416,201.25892079345348,209.18374507431483,0.12279078433353383,0.11989813472088068,0.1258264600919073,0.01611634182267639,0.01589117438292591,0.016347981923406498,0.1072674849292236,0.10527200399510232,0.10934007814482803,0.19367807523280042,0.18888586425931883,0.19847028620628202,0.43411061257235534,0.42299013807002717,0.4452310870746835,0.7514162052972929,0.7345885154971754,0.7682438950974104,0.9823818170130232,0.9701429804805759,0.9946206535454705,25.951816082000732
3,22,0.01,0.01,999999999999999.9,0.05,0.08333333333333334,0.06666666666666668,278.9524234231001,274.6276535295481,283.277193316652,128.0541086926856,126.0288451050233,130.07937228034788,330.9209851741263,324.87860756814666,336.96336278010597,0.08982339369084788,0.08846256326606775,0.09122674587460108,0.023477190654601375,0.02306302695545608,0.023906501389405678,0.06622946831794152,0.06508250579292807,0.06741758238297622,0.46818194068960145,0.45919693989305865,0.47716694148614425,0.7955902975040591,0.7753982837499833,0.8157823112581348,0.9929519689105154,0.9795440732299844,1.0063598645910463,1.9944180370627325E-20,0.0,3.638173425645377E-12,15.295173406600952
0,25,0.01,0.01,0.25,0.0625,0.125,0.09090909090909091,276.52487613770256,272.0004372222149,281.04931505319024,0.0,0.0,0.0,276.52487613770256,272.0004372222149,281.04931505319024,0.09041107824357122,0.08885681375313767,0.09202068448809156,0.0,0.0,0.0,0.09041107824357122,0.08885681375313767,0.09202068448809156,0.0,0.0,0.0,0.7267972876020374,0.7119540365337881,0.7416405386702868,0.9964286289307749,0.983389343561298,1.0094679143002518,0.36206063451020026,0.35324816928332836,0.37087309973707216,10.08832573890686
1,24,0.01,0.01,999999999999999.9,0.05,0.08333333333333334,0.06666666666666668,334.0063728056704,329.2699119734361,338.74283363790477,119.58154906763217,117.79808318195622,121.36501495330812,360.4610901520046,354.62968196266377,366.29249834134544,0.07484978513051498,0.07353364857004806,0.07621389386276116,0.008362494112151252,0.008239606779472015,0.00848910247932774,0.06661051387914133,0.06528394283112982,0.06799211504162939,0.16745088569175084,0.16269031937386294,0.17221145200963875,0.7947123155010378,0.7785632412921942,0.8108613897098814,0.9974614533395022,0.9850568115306532,1.0098660951483511,8.818039215776142E-20,0.0,7.650503145398634E-12,29.111097812652588
6,19,0.01,0.01,1.0,0.05263157894736842,0.09090909090909091,0.07142857142857142,223.39929433669613,219.3026333637616,227.49595530963066,145.12144927074812,142.8592186864499,147.38367985504632,268.1194312661255,262.60913934826357,273.62972318398744,0.11191181146964817,0.109825923201148,0.11407846692689831,0.04140443478783046,0.04072836561633281,0.042103327595684595,0.07086446666509862,0.0699519629460388,0.0718010917503053,0.7832894098276085,0.7681446023905482,0.7984342172646689,0.7765879166393513,0.755805985323016,0.7973698479556867,0.9853039629786478,0.9706112755491262,0.9999966504081693,0.11157458100597596,0.1083386165456074,0.11481054546634452,12.16719675064087
2,23,0.01,0.01,0.25,0.0625,0.125,0.09090909090909091,235.5845633515063,229.1283355433052,242.04079115970737,125.15686033011212,122.95164386502712,127.36207679519713,253.7828181644021,248.65371386301572,258.91192246578845,0.10592178532102009,0.10319057309101731,0.10880150576730818,0.015980070762153437,0.015703591144220517,0.016266460333612273,0.08996751213740876,0.08779589874463158,0.09224927896874163,0.2549902324758123,0.24947868806667395,0.2605017768849507,0.7186271165369982,0.7029289030144961,0.7343253300595003,0.9937985909860941,0.981060799239027,1.0065363827331613,0.4272132125092262,0.4162712998730075,0.43815512514544497,23.460474252700806
