N_A,N_B,r_Z_A,r_Z_B,c_A_T1,c_A_T2,c_A_T3,c_B_T1,c_B_T2,c_B_T4,r_A_T1,r_A_T2,r_A_T3,r_B_T1,r_B_T2,r_B_T4,R0,R0_low,R0_up,R0_A,R0_A_low,R0_A_up,R0_B,R0_B_low,R0_B_up,X0,X0_low,X0_up,X0_A,X0_A_low,X0_A_up,X0_B,X0_B_low,X0_B_up,Ut1_A,Ut1_A_low,Ut1_A_up,Ut2_A,Ut2_A_low,Ut2_A_up,Ut3_A,Ut3_A_low,Ut3_A_up,Ut1_B,Ut1_B_low,Ut1_B_up,Ut2_B,Ut2_B_low,Ut2_B_up,Ut3_B,Ut3_B_low,Ut3_B_up,sim_time_sec
5,45,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,377.660081850166,367.354151544667,387.966012155664,154.946417637451,153.023213116155,156.869622158747,449.071601526749,440.681475160492,457.461727893006,0.132268524243042,0.128875067127315,0.135845523013921,0.032026352726719,0.031224684468319,0.032870270050241,0.100208019535045,0.098522907465582,0.101951778183048,0.383273951837198,0.376725590459108,0.389822313215287,0.480613625872566,0.470205984576937,0.491021267168195,0.352548526472367,0.344903458301227,0.360193594643507,0.801001780670791,0.777710721709155,0.824292839632428,0.899162115670577,0.875689199756785,0.922635031584368,0.99842892136562,0.985710402094789,1.01114744063645,18.4332497119904
24,26,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,312.584771312992,303.385657797718,321.783884828266,424.976431583082,412.491843747746,437.461019418418,236.043339860205,233.296475956826,238.790203763585,0.159189891220797,0.156810473006359,0.161642631877368,0.066364019267556,0.06452772013688,0.068307892750295,0.093566411225121,0.092094334779247,0.095086312766117,0.792718821539923,0.772502409791067,0.812935233288778,0.994241584572775,0.98041367870192,1.00806949044363,0.719199003524779,0.705395688735379,0.733002318314178,0.750373926735696,0.73042155929297,0.770326294178423,0.839852121155043,0.828503456957142,0.851200785352943,0.932809479729017,0.907430966854458,0.958187992603576,11.6587386131287
28,22,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,312.584771312992,303.385657797718,321.783884828266,424.976431583082,412.491843747746,437.461019418418,236.043339860205,233.296475956826,238.790203763585,0.159189891220797,0.156810473006359,0.161642631877368,0.066364019267556,0.06452772013688,0.068307892750295,0.093566411225121,0.092094334779247,0.095086312766117,0.792718821539923,0.772502409791067,0.812935233288778,0.994241584572775,0.98041367870192,1.00806949044363,0.719199003524779,0.705395688735379,0.733002318314178,0.750373926735696,0.73042155929297,0.770326294178423,0.839852121155043,0.828503456957142,0.851200785352943,0.932809479729017,0.907430966854458,0.958187992603576,11.5013802051544
32,18,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,319.645772417883,313.717269456645,325.57427537912,477.818464343259,469.895082180639,485.741846505879,202.161951099834,196.845713872822,207.478188326845,0.155905884546919,0.152042370052876,0.159970868328726,0.066979628631794,0.065624797824911,0.068391579944583,0.0893421624209,0.086752072066654,0.092091673166793,0.803979248305575,0.782841445313091,0.825117051298059,0.998118071273534,0.985639430044328,1.01059671250274,0.73534653251468,0.717333463281775,0.753359601747584,0.699068412396842,0.679691656444186,0.718445168349497,0.802907017542359,0.785816991934067,0.819997043150651,0.877232098824369,0.86272887234764,0.891735325301099,11.3919088840485
3,47,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,418.936205820643,412.136616943593,425.735794697694,145.729074564418,143.178012252325,148.280136876511,475.442366539154,467.515179732133,483.369553346175,0.119131962504516,0.117090205161736,0.121246189717613,0.020595124909313,0.02002184160116,0.021202205452866,0.098949119589174,0.097090933088848,0.100879820160419,0.248714413133004,0.242176559564792,0.255252266701216,0.309090211896693,0.302828709430067,0.31535171436332,0.228223696847461,0.222440407265736,0.234006986429186,0.782282997445185,0.760956404792713,0.803609590097657,0.900307201518863,0.877652753429529,0.922961649608196,0.997233217305287,0.983304386297114,1.01116204831346,16.5663895606995
30,20,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,317.401699721914,312.338339083846,322.465060359982,449.30421217382,441.745093682423,456.863330665217,220.173339847412,214.291253086974,226.05542660785,0.157325438382994,0.153112011572554,0.161777322335459,0.066780240013751,0.065964983860218,0.067615899709071,0.091517415535562,0.090201717739505,0.092872063454297,0.800208887087263,0.776234679938908,0.824183094235619,0.998025243491673,0.985559604324946,1.0104908826584,0.732016571031543,0.718611287136207,0.745421854926878,0.739079108110812,0.724500371785188,0.753657844436435,0.822759050841682,0.801492466194508,0.844025635488855,0.916234593491893,0.898645658841287,0.933823528142499,17.0043590068817
1,49,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,463.084475769564,449.578899386617,476.590052152511,137.737482395083,135.267602451161,140.207362339006,486.891043270133,474.17277433361,499.609312206655,0.107218142771708,0.105332843106759,0.109172160449832,0.007260187877775,0.007132293078748,0.007392753193515,0.099961047061839,0.098133752550273,0.101857682826319,0.08687815842627,0.08446559744318,0.08929071940936,0.108351062211605,0.105836531304407,0.110865593118804,0.078406736474599,0.076101644741327,0.080711828207871,0.809344887471655,0.78577673613319,0.832913038810119,0.905117646012249,0.882597892499708,0.92763739952479,0.998491764350823,0.985873827287797,1.01110970141385,35.1679790019989
23,27,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,308.024436725843,299.115442289608,316.933431162078,347.674318145926,341.51551342673,353.833122865122,281.63745628439,276.558160594877,286.716751973903,0.162471040896164,0.159900398038771,0.16512568826615,0.066176938619544,0.065064387520625,0.067328199160347,0.096912479233091,0.09428651657191,0.099688903125495,0.79612991508818,0.777586480932573,0.814673349243786,0.98437490343898,0.970594846043957,0.998154960834004,0.742782352402542,0.72323739682359,0.762327307981494,0.758130252288651,0.739147468254845,0.777113036322457,0.876744226146153,0.857552514310723,0.895935937981584,0.968002453813116,0.953284162096795,0.982720745529437,10.9800741672516
27,23,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,312.219839580029,306.418149109712,318.021530050346,408.764239135931,397.175868330053,420.352609941809,244.856864082148,241.246985176447,248.466742987849,0.160151879658984,0.157314090505105,0.163093931372381,0.066230092351654,0.065211300016847,0.067281222972,0.09386752877123,0.091454713857255,0.096411106300965,0.792796795684543,0.772619027877537,0.81297456349155,0.995198925175865,0.979774249523298,1.01062360082843,0.739571896520191,0.720761184434898,0.758382608605485,0.758011161230235,0.745805535854412,0.770216786606058,0.833861391545335,0.815318572381248,0.852404210709423,0.937692511693236,0.922901885148266,0.952483138238206,12.9589240550995
25,25,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,309.723772273072,300.575125863045,318.8724186831,380.891136878527,369.70908275028,392.073191006774,263.621006737239,258.683561338009,268.558452136469,0.16101973683611,0.158842431797575,0.163257561497983,0.066381471596534,0.065248486131052,0.067554499050355,0.094802794637487,0.093474719794895,0.096169151563782,0.789738318927616,0.773152924904108,0.806323712951125,0.992885827870431,0.980493600370353,1.00527805537051,0.726600795647774,0.70538836860514,0.747813222690407,0.773221479894333,0.755294391814375,0.79114856797429,0.859883530120249,0.843312420948995,0.876454639291503,0.952249385516013,0.926123202118777,0.978375568913248,12.8004167079926
34,16,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,333.950404788079,327.86498225457,340.035827321588,509.506513713859,501.384532744206,517.628494683511,190.387167411269,187.699750556732,193.074584265806,0.150265444620319,0.147668165876352,0.152955724200045,0.066984755637444,0.065870411614671,0.068137451667907,0.084032883385644,0.082954000577176,0.085140199450665,0.7984520487775,0.777260677961533,0.819643419593466,0.998637422534297,0.9861190264812,1.0111558185874,0.727777282904754,0.709688960572494,0.745865605237014,0.673170979219139,0.661087826863088,0.685254131575189,0.74770250822245,0.728988876713306,0.766416139731593,0.842632496370845,0.828079056251128,0.857185936490562,13.1112267971039
29,21,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,316.155208103941,311.779580933067,320.530835274815,435.38693124792,428.382134229863,442.391728265978,229.042206632396,225.857285744848,232.227127519943,0.157181244522447,0.154965784766281,0.159460969437209,0.066273297513171,0.064499762105152,0.068147123597327,0.091702306991426,0.090437976967791,0.093002489096106,0.797496795316649,0.782180643928359,0.81281294670494,0.995404824916197,0.980422829494252,1.01038682033814,0.731744953362189,0.7128066843068,0.750683222417577,0.721662145050533,0.703986861992576,0.73933742810849,0.810177386578081,0.786401642236049,0.833953130920112,0.934592034551869,0.917961512960184,0.951222556143553,12.960458278656
21,29,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,308.680299510406,304.389581614789,312.971017406024,324.365866659797,316.453584073669,332.278149245925,299.151830947758,292.709849689939,305.593812205577,0.161552592626917,0.159439097094511,0.16372287311131,0.064391066259965,0.063504364795115,0.06530288011151,0.096935412912016,0.095368734337621,0.098554424705241,0.774019271125431,0.755048066553344,0.792990475697519,0.979537888410232,0.952938188177262,1.0061375886432,0.713061188642235,0.701034618978076,0.725087758306394,0.773015139300746,0.752285791729308,0.793744486872184,0.88861953553596,0.867210904295681,0.91002816677624,0.976743008110546,0.962358745923787,0.991127270297306,14.340204000473
33,17,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,327.446196618954,322.11583651344,332.776556724468,498.761105730573,483.895553351392,513.626658109754,197.165743644806,191.408616975808,202.922870313804,0.152875974041109,0.149981646360579,0.155884208655254,0.066359721878101,0.065007551504081,0.067769337975889,0.086193162334384,0.08504308768393,0.087374769329517,0.794680252930351,0.775457237220397,0.813903268640305,0.996484872884827,0.983325999204754,1.0096437465649,0.728583739583112,0.709685726622836,0.747481752543389,0.701442905326613,0.684348108702387,0.718537701950839,0.773758352800075,0.754474653021077,0.793042052579073,0.860025680109567,0.840597784603587,0.879453575615547,11.4069948196411
31,19,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,318.705163187358,309.652431999356,327.75789437536,464.625272093635,455.934060065405,473.316484121866,210.937857688296,204.818918293086,217.056797083506,0.156692352227178,0.153539552009467,0.159977346924714,0.066717748425965,0.06557029157845,0.067906080755673,0.090306972195825,0.08799146464011,0.092747639141012,0.801395000116392,0.782546783713382,0.820243216519402,0.999129459399684,0.986661164236664,1.0115977545627,0.728314659717077,0.708844289815332,0.747785029618822,0.716682476397518,0.701070070885286,0.732294881909749,0.812539638964593,0.798367225907195,0.826712052021991,0.904089822072976,0.881030855284507,0.927148788861445,9.9606237411499
38,12,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,357.605784233508,347.97064689292,367.240921574096,569.168511680768,552.124617363413,586.212405998123,164.484690627803,162.038408883916,166.930972371689,0.13974271861956,0.137554551639223,0.142001628048191,0.066578486667175,0.065106032570516,0.06811908469409,0.072929895863699,0.071886327132836,0.0740042097468,0.809134207937926,0.787213697665246,0.831054718210606,0.999227192247809,0.986641308645642,1.01181307584998,0.73086438106579,0.711163980257727,0.750564781873854,0.577504479115821,0.566400161650055,0.588608796581588,0.656147056092597,0.643551505255148,0.668742606930046,0.738732924321538,0.722977297951734,0.754488550691343,9.94889187812805
36,14,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,342.833991131472,336.41028541841,349.257696844534,534.079771803142,519.00640975773,549.153133848553,175.946104163245,173.34121870239,178.5509896241,0.146040396291067,0.143872507384326,0.14827461673114,0.067022673964977,0.065836644196631,0.068252219688239,0.079585313472496,0.078401513212289,0.080805410665168,0.799467762224019,0.786862042511889,0.81207348193615,0.999153504284068,0.986693343202108,1.01161366536603,0.74073449605427,0.721137846638327,0.760331145470213,0.632819530800315,0.619418272931411,0.646220788669219,0.717417918472232,0.700680324991754,0.73415551195271,0.801051672304045,0.784195890944521,0.817907453663568,12.7134501934052
